task_id,task_description,answer.selected_robots,answer.action_plan
task_10,"Scan the table for any missing fruits-the pear or the tomato. Place them on the table, checking cabinet if necessary.",['Stompy'],"[{'step': 1, 'actions': {'Stompy': ['Move', 'tomato']}}, {'step': 2, 'actions': {'Stompy': ['Reach', 'tomato']}}, {'step': 3, 'actions': {'Stompy': ['Grasp', 'tomato']}}, {'step': 4, 'actions': {'Stompy': ['Move', 'table']}}, {'step': 5, 'actions': {'Stompy': ['Place', 'table']}}]"
task_11,"Begin by placing the bowl onto the kitchen work area, then fetch the banana from the cabinet and load it into the bowl to complete the preparation.","['Stompy', 'Panda']","[{'step': 1, 'actions': {'Stompy': ['Move', 'bowl']}}, {'step': 2, 'actions': {'Stompy': ['Reach', 'bowl']}}, {'step': 3, 'actions': {'Stompy': ['Place', 'work area']}}, {'step': 4, 'actions': {'Panda': ['Reach', 'banana']}}, {'step': 5, 'actions': {'Panda': ['Grasp', 'banana']}}, {'step': 6, 'actions': {'Panda': ['Place', 'bowl']}}]"
task_13,Transfer the apple over to the kitchen island area and ensure it is positioned correctly.,['Fetch'],"[{'step': 1, 'actions': {'Fetch': ['Move', 'apple']}}, {'step': 2, 'actions': {'Fetch': ['Reach', 'apple']}}, {'step': 3, 'actions': {'Fetch': ['Grasp', 'apple']}}, {'step': 4, 'actions': {'Fetch': ['Move', 'kitchen island']}}, {'step': 5, 'actions': {'Fetch': ['Place', 'kitchen island']}}]"
task_15,Collect every food and drink on the table and store them properly on the rack.,['Fetch'],"[{'step': 1, 'actions': {'Fetch': ['Move', 'table']}}, {'step': 2, 'actions': {'Fetch': ['Reach', 'bottle']}}, {'step': 3, 'actions': {'Fetch': ['Grasp', 'bottle']}}, {'step': 4, 'actions': {'Fetch': ['Move', 'rack']}}, {'step': 5, 'actions': {'Fetch': ['Place', 'bottle']}}, {'step': 6, 'actions': {'Fetch': ['Move', 'table']}}, {'step': 7, 'actions': {'Fetch': ['Reach', 'bread']}}, {'step': 8, 'actions': {'Fetch': ['Grasp', 'bread']}}, {'step': 9, 'actions': {'Fetch': ['Move', 'rack']}}, {'step': 10, 'actions': {'Fetch': ['Place', 'bread']}}, {'step': 11, 'actions': {'Fetch': ['Move', 'table']}}, {'step': 12, 'actions': {'Fetch': ['Reach', 'apple']}}, {'step': 13, 'actions': {'Fetch': ['Grasp', 'apple']}}, {'step': 14, 'actions': {'Fetch': ['Move', 'rack']}}, {'step': 15, 'actions': {'Fetch': ['Place', 'apple']}}]"
task_30,Go ahead and open the refrigerator.,['Fetch'],"[{'step': 1, 'actions': {'Fetch': ['Move', 'refrigerator']}}, {'step': 2, 'actions': {'Fetch': ['Reach', 'refrigerator handle']}}, {'step': 3, 'actions': {'Fetch': ['Open', 'refrigerator']}}]"
task_35,Let's store the tomato and the pumpkin safely in the plate.,['Unitree_H1'],"[{'step': 1, 'actions': {'Unitree_H1': ['Move', 'table']}}, {'step': 2, 'actions': {'Unitree_H1': ['Reach', 'tomato']}}, {'step': 3, 'actions': {'Unitree_H1': ['Grasp', 'tomato']}}, {'step': 4, 'actions': {'Unitree_H1': ['Move', 'plate']}}, {'step': 5, 'actions': {'Unitree_H1': ['Place', 'tomato']}}, {'step': 6, 'actions': {'Unitree_H1': ['Move', 'table']}}, {'step': 7, 'actions': {'Unitree_H1': ['Reach', 'pumpkin']}}, {'step': 8, 'actions': {'Unitree_H1': ['Grasp', 'pumpkin']}}, {'step': 9, 'actions': {'Unitree_H1': ['Move', 'plate']}}, {'step': 10, 'actions': {'Unitree_H1': ['Place', 'pumpkin']}}]"
task_36,"Place the bread into the toaster, turn it on, and meanwhile set the plate onto the kitchen island area for the breakfast setup.","['Fetch', 'Panda']","[{'step': 1, 'actions': {'Fetch': ['Move', 'bread'], 'Panda': ['Reach', 'plate']}}, {'step': 2, 'actions': {'Fetch': ['Reach', 'bread'], 'Panda': ['Grasp', 'plate']}}, {'step': 3, 'actions': {'Fetch': ['Grasp', 'bread'], 'Panda': ['Place', 'kitchen island']}}, {'step': 4, 'actions': {'Fetch': ['Move', 'toaster']}}, {'step': 5, 'actions': {'Fetch': ['Place', 'toaster']}}, {'step': 6, 'actions': {'Fetch': ['Interact', 'toaster']}}]"
task_42,Clear the food away and arrange it in the refrigerator.,"['Fetch', 'Unitree_H1']","[{'step': 1, 'actions': {'Fetch': ['Move', 'food'], 'Unitree_H1': ['Move', 'refrigerator']}}, {'step': 2, 'actions': {'Fetch': ['Reach', 'food']}}, {'step': 3, 'actions': {'Fetch': ['Grasp', 'food']}}, {'step': 4, 'actions': {'Fetch': ['Move', 'refrigerator']}}, {'step': 5, 'actions': {'Fetch': ['Place', 'refrigerator']}}]"
task_46,Store the tomato together with the scissors inside the cabinet to make the area neat and clean.,"['Panda', 'Unitree_H1']","[{'step': 1, 'actions': {'Panda': ['Reach', 'tomato'], 'Unitree_H1': ['Move', 'cabinet']}}, {'step': 2, 'actions': {'Panda': ['Grasp', 'tomato'], 'Unitree_H1': ['Reach', 'scissors']}}, {'step': 3, 'actions': {'Panda': ['Place', 'cabinet'], 'Unitree_H1': ['Grasp', 'scissors']}}, {'step': 4, 'actions': {'Unitree_H1': ['Open', 'cabinet']}}, {'step': 5, 'actions': {'Unitree_H1': ['Place', 'cabinet']}}, {'step': 6, 'actions': {'Unitree_H1': ['Close', 'cabinet']}}]"
task_52,Position the apple on the wooden cutting board; slice it neatly with the knife.,"['Fetch', 'Unitree_H1']","[{'step': 1, 'actions': {'Fetch': ['Move', 'apple']}}, {'step': 2, 'actions': {'Fetch': ['Reach', 'apple']}}, {'step': 3, 'actions': {'Fetch': ['Grasp', 'apple']}}, {'step': 4, 'actions': {'Fetch': ['Move', 'cutting board']}}, {'step': 5, 'actions': {'Fetch': ['Place', 'cutting board']}}, {'step': 6, 'actions': {'Unitree_H1': ['Move', 'knife']}}, {'step': 7, 'actions': {'Unitree_H1': ['Reach', 'knife']}}, {'step': 8, 'actions': {'Unitree_H1': ['Grasp', 'knife']}}, {'step': 9, 'actions': {'Unitree_H1': ['Move', 'cutting board']}}, {'step': 10, 'actions': {'Unitree_H1': ['Interact', 'apple']}}]"
